id = 456, KLT = 21, ransac = 15
id = 457, KLT = 21, ransac = 15
id = 458, KLT = 21, ransac = 15
id = 459, KLT = 21, ransac = 16
id = 460, KLT = 21, ransac = 14
id = 461, KLT = 18, ransac = 14
id = 462, KLT = 19, ransac = 13
id = 463, KLT = 18, ransac = 13
id = 464, KLT = 18, ransac = 14
id = 465, KLT = 17, ransac = 12
id = 466, KLT = 19, ransac = 14
id = 467, KLT = 18, ransac = 14
id = 468, KLT = 19, ransac = 13
id = 469, KLT = 18, ransac = 13
id = 470, KLT = 18, ransac = 14
id = 471, KLT = 19, ransac = 14
id = 472, KLT = 18, ransac = 14
id = 473, KLT = 20, ransac = 14
id = 474, KLT = 19, ransac = 14
id = 475, KLT = 19, ransac = 13
id = 476, KLT = 19, ransac = 14
id = 477, KLT = 18, ransac = 13
id = 478, KLT = 19, ransac = 13
id = 479, KLT = 19, ransac = 14
id = 480, KLT = 19, ransac = 14
id = 481, KLT = 19, ransac = 14
id = 482, KLT = 19, ransac = 13
id = 483, KLT = 21, ransac = 14
id = 484, KLT = 20, ransac = 13
id = 485, KLT = 19, ransac = 14
id = 486, KLT = 20, ransac = 15
id = 487, KLT = 21, ransac = 14
id = 488, KLT = 23, ransac = 14
id = 489, KLT = 24, ransac = 14
id = 490, KLT = 22, ransac = 14
id = 491, KLT = 20, ransac = 14
id = 492, KLT = 21, ransac = 15
id = 493, KLT = 22, ransac = 15
id = 494, KLT = 20, ransac = 16
id = 495, KLT = 21, ransac = 14
id = 496, KLT = 22, ransac = 14
id = 497, KLT = 19, ransac = 14
id = 498, KLT = 20, ransac = 13
id = 499, KLT = 19, ransac = 14
id = 500, KLT = 21, ransac = 14
id = 501, KLT = 21, ransac = 14
id = 502, KLT = 20, ransac = 13
id = 503, KLT = 20, ransac = 14
id = 504, KLT = 22, ransac = 14
id = 505, KLT = 20, ransac = 14
id = 506, KLT = 21, ransac = 13
id = 507, KLT = 19, ransac = 15
id = 508, KLT = 19, ransac = 13
id = 509, KLT = 21, ransac = 14
id = 510, KLT = 21, ransac = 14
id = 511, KLT = 20, ransac = 14
id = 512, KLT = 22, ransac = 14
id = 513, KLT = 20, ransac = 13
id = 514, KLT = 21, ransac = 13
id = 515, KLT = 19, ransac = 14
id = 516, KLT = 21, ransac = 15
id = 517, KLT = 20, ransac = 13
id = 518, KLT = 21, ransac = 15
id = 519, KLT = 23, ransac = 15
id = 520, KLT = 25, ransac = 16
id = 521, KLT = 24, ransac = 16
id = 522, KLT = 26, ransac = 18
id = 523, KLT = 26, ransac = 16
id = 524, KLT = 29, ransac = 17
id = 525, KLT = 28, ransac = 18
id = 526, KLT = 26, ransac = 16
id = 527, KLT = 26, ransac = 16
id = 528, KLT = 23, ransac = 15
id = 529, KLT = 27, ransac = 17
id = 530, KLT = 25, ransac = 17
id = 531, KLT = 25, ransac = 15
id = 532, KLT = 28, ransac = 19
id = 533, KLT = 25, ransac = 15
id = 534, KLT = 24, ransac = 14
id = 535, KLT = 28, ransac = 17
id = 536, KLT = 22, ransac = 15
id = 537, KLT = 27, ransac = 18
id = 538, KLT = 23, ransac = 16
id = 539, KLT = 24, ransac = 16
id = 540, KLT = 25, ransac = 14
id = 541, KLT = 26, ransac = 16
id = 542, KLT = 24, ransac = 16
id = 543, KLT = 25, ransac = 17
id = 544, KLT = 24, ransac = 15
id = 545, KLT = 24, ransac = 14
id = 546, KLT = 28, ransac = 16
id = 547, KLT = 22, ransac = 14
id = 548, KLT = 24, ransac = 15
id = 549, KLT = 23, ransac = 15
id = 550, KLT = 22, ransac = 13
id = 551, KLT = 24, ransac = 16
id = 552, KLT = 21, ransac = 14
id = 553, KLT = 24, ransac = 15
id = 554, KLT = 22, ransac = 14
id = 555, KLT = 20, ransac = 13
id = 556, KLT = 25, ransac = 16
id = 557, KLT = 25, ransac = 16
id = 558, KLT = 21, ransac = 15
id = 559, KLT = 25, ransac = 16
id = 560, KLT = 29, ransac = 16
id = 561, KLT = 28, ransac = 16
id = 562, KLT = 28, ransac = 17
id = 563, KLT = 29, ransac = 16
id = 564, KLT = 29, ransac = 17
id = 565, KLT = 28, ransac = 17
id = 566, KLT = 28, ransac = 15
id = 567, KLT = 27, ransac = 15
id = 568, KLT = 26, ransac = 16
id = 569, KLT = 27, ransac = 15
id = 570, KLT = 26, ransac = 15
id = 571, KLT = 26, ransac = 15
id = 572, KLT = 27, ransac = 15
id = 573, KLT = 23, ransac = 14
id = 574, KLT = 25, ransac = 15
id = 575, KLT = 26, ransac = 14
id = 576, KLT = 25, ransac = 14
id = 577, KLT = 26, ransac = 14
id = 578, KLT = 27, ransac = 14
id = 579, KLT = 25, ransac = 14
id = 580, KLT = 28, ransac = 15
id = 581, KLT = 28, ransac = 16
id = 582, KLT = 27, ransac = 15
id = 583, KLT = 26, ransac = 14
id = 584, KLT = 25, ransac = 15
id = 585, KLT = 27, ransac = 16
id = 586, KLT = 24, ransac = 14
id = 587, KLT = 26, ransac = 14
id = 588, KLT = 30, ransac = 16
id = 589, KLT = 30, ransac = 17
id = 590, KLT = 30, ransac = 17
id = 591, KLT = 30, ransac = 18
id = 592, KLT = 30, ransac = 17
id = 593, KLT = 27, ransac = 15
id = 594, KLT = 28, ransac = 16
id = 595, KLT = 26, ransac = 15
id = 596, KLT = 29, ransac = 17
id = 597, KLT = 27, ransac = 15
id = 598, KLT = 30, ransac = 17
id = 599, KLT = 28, ransac = 16
id = 600, KLT = 26, ransac = 16
id = 601, KLT = 29, ransac = 16
id = 602, KLT = 27, ransac = 17
id = 603, KLT = 28, ransac = 16
id = 604, KLT = 26, ransac = 17
id = 605, KLT = 23, ransac = 14
id = 606, KLT = 22, ransac = 15
id = 607, KLT = 24, ransac = 15
id = 608, KLT = 20, ransac = 14
id = 609, KLT = 20, ransac = 15
id = 610, KLT = 22, ransac = 14
id = 611, KLT = 21, ransac = 16
id = 612, KLT = 24, ransac = 15
id = 613, KLT = 22, ransac = 14
id = 614, KLT = 26, ransac = 15
id = 615, KLT = 26, ransac = 16
id = 616, KLT = 24, ransac = 16
id = 617, KLT = 37, ransac = 25
id = 618, KLT = 23, ransac = 15
id = 619, KLT = 21, ransac = 15
id = 620, KLT = 41, ransac = 24
id = 621, KLT = 57, ransac = 23
id = 622, KLT = 63, ransac = 27
id = 623, KLT = 61, ransac = 24
id = 624, KLT = 64, ransac = 27
id = 625, KLT = 57, ransac = 24
id = 626, KLT = 51, ransac = 22
id = 627, KLT = 44, ransac = 22
id = 628, KLT = 45, ransac = 22
id = 629, KLT = 44, ransac = 22
id = 630, KLT = 40, ransac = 21
id = 631, KLT = 41, ransac = 20
id = 632, KLT = 46, ransac = 20
id = 633, KLT = 44, ransac = 22
id = 634, KLT = 36, ransac = 18
id = 635, KLT = 40, ransac = 22
id = 636, KLT = 32, ransac = 19
id = 637, KLT = 20, ransac = 12
id = 638, KLT = 20, ransac = 15
id = 639, KLT = 21, ransac = 13
id = 640, KLT = 20, ransac = 15
id = 641, KLT = 20, ransac = 14
id = 642, KLT = 16, ransac = 12
id = 643, KLT = 17, ransac = 13
id = 644, KLT = 15, ransac = 11
id = 645, KLT = 12, ransac = 7
id = 646, KLT = 12, ransac = 7
id = 647, KLT = 10, ransac = 7
id = 648, KLT = 12, ransac = 7
id = 649, KLT = 10, ransac = 7
id = 650, KLT = 11, ransac = 7
id = 651, KLT = 10, ransac = 7
id = 652, KLT = 13, ransac = 7
id = 653, KLT = 14, ransac = 8
id = 654, KLT = 15, ransac = 11
id = 655, KLT = 12, ransac = 7
id = 656, KLT = 15, ransac = 11
id = 657, KLT = 12, ransac = 7
id = 658, KLT = 11, ransac = 7
id = 659, KLT = 12, ransac = 7
id = 660, KLT = 12, ransac = 7
id = 661, KLT = 16, ransac = 11
id = 662, KLT = 15, ransac = 12
id = 663, KLT = 13, ransac = 8
id = 664, KLT = 9, ransac = 7
id = 665, KLT = 11, ransac = 7
id = 666, KLT = 10, ransac = 7
id = 667, KLT = 10, ransac = 7
id = 668, KLT = 14, ransac = 8
id = 669, KLT = 15, ransac = 11
id = 670, KLT = 15, ransac = 12
id = 671, KLT = 16, ransac = 12
id = 672, KLT = 18, ransac = 13
id = 673, KLT = 19, ransac = 13
id = 674, KLT = 16, ransac = 11
id = 675, KLT = 20, ransac = 12
id = 676, KLT = 18, ransac = 11
id = 677, KLT = 19, ransac = 12
id = 678, KLT = 17, ransac = 10
id = 679, KLT = 17, ransac = 11
id = 680, KLT = 15, ransac = 9
id = 681, KLT = 16, ransac = 10
id = 682, KLT = 18, ransac = 13
id = 683, KLT = 18, ransac = 13
id = 684, KLT = 17, ransac = 13
id = 685, KLT = 19, ransac = 15
id = 686, KLT = 19, ransac = 14
id = 687, KLT = 15, ransac = 12
id = 688, KLT = 18, ransac = 14
id = 689, KLT = 15, ransac = 13
id = 690, KLT = 17, ransac = 13
id = 691, KLT = 14, ransac = 8
id = 692, KLT = 19, ransac = 15
id = 693, KLT = 17, ransac = 14
id = 694, KLT = 20, ransac = 15
id = 695, KLT = 17, ransac = 13
id = 696, KLT = 16, ransac = 13
id = 697, KLT = 17, ransac = 14
id = 698, KLT = 17, ransac = 13
id = 699, KLT = 16, ransac = 13
id = 700, KLT = 17, ransac = 13
id = 701, KLT = 16, ransac = 13
id = 702, KLT = 15, ransac = 12
id = 703, KLT = 15, ransac = 12
id = 704, KLT = 17, ransac = 13
id = 705, KLT = 17, ransac = 14
id = 706, KLT = 16, ransac = 13
id = 707, KLT = 17, ransac = 13
id = 708, KLT = 17, ransac = 13
id = 709, KLT = 15, ransac = 12
id = 710, KLT = 17, ransac = 13
id = 711, KLT = 16, ransac = 12
id = 712, KLT = 15, ransac = 13
id = 713, KLT = 16, ransac = 13
id = 714, KLT = 16, ransac = 12
id = 715, KLT = 18, ransac = 14
id = 716, KLT = 16, ransac = 13
id = 717, KLT = 17, ransac = 13
id = 718, KLT = 17, ransac = 14
id = 719, KLT = 14, ransac = 8
id = 720, KLT = 17, ransac = 13
id = 721, KLT = 16, ransac = 13
id = 722, KLT = 14, ransac = 8
id = 723, KLT = 16, ransac = 13
id = 724, KLT = 18, ransac = 14
id = 725, KLT = 16, ransac = 13
id = 726, KLT = 16, ransac = 12
id = 727, KLT = 16, ransac = 13
id = 728, KLT = 15, ransac = 12
id = 729, KLT = 16, ransac = 13
id = 730, KLT = 16, ransac = 13
id = 731, KLT = 15, ransac = 12
id = 732, KLT = 16, ransac = 13
id = 733, KLT = 15, ransac = 12
id = 734, KLT = 16, ransac = 13
id = 735, KLT = 16, ransac = 13
